Python results,,,,,,,,,,,,,,,
Experiment,optim_idx,estimated_params,band_idx,weighted_diff_mean,weighted_diff_std,weighted_stat_diff_mean,weighted_stat_diff_std,weighted_diff,weighted_stat_diff,,,,,,
1,FALSE,FALSE,FALSE,5.5,0.43,2.13,0.31,"[5.56, 5.82, 5.74, 5.07, 5.92, 5.73, 5.43, 4.92, 4.74, 6.11]","[2.28, 2.5, 2.4, 1.83, 2.36, 2.18, 1.98, 1.95, 1.45, 2.41]",,,,,,
2,TRUE,FALSE,FALSE,5.24,0.27,1.91,0.2,"[5.49, 5.36, 5.56, 5.05, 5.48, 5.23, 5.26, 4.77, 4.79, 5.44]","[2.17, 1.92, 2.18, 1.72, 2.17, 1.69, 1.89, 1.61, 1.8, 1.98]",,,,,,
3,TRUE,FALSE,TRUE,5.3,0,1.69,0,[5.3],[1.69],,,,,,
4,FALSE,FALSE,TRUE,5.48,0.17,2.07,0.25,"[5.38, 5.8, 5.37, 5.33, 5.56, 5.62, 5.37, 5.43, 5.22, 5.7]","[1.89, 2.6, 2.1, 2.06, 2.22, 2.12, 1.83, 2.02, 1.65, 2.25]",,,,,,
5,,TRUE,FALSE,5.24,0.27,1.91,0.21,"[5.49, 5.36, 5.56, 5.05, 5.48, 5.23, 5.26, 4.77, 4.79, 5.44]","[2.14, 1.88, 2.13, 1.65, 2.15, 1.7, 1.87, 1.62, 1.76, 2.16]",,,,,,
6,,TRUE,TRUE,5.3,0,1.61,0,[5.3],[1.61],,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
R results,,,,,,,,,,,,,,,
Experiment,optim_idx,estimated_params,band_idx,weighted_diff_mean,weighted_diff_std,weighted_stat_diff_mean,weighted_stat_diff_std,weighted_diff,weighted_stat_diff,,,,,,
1,FALSE,FALSE,FALSE,5.6,0.37,2.46,0.33,"[5.30, 5.14, 5.35, 6.16, 5.36, 5.65, 6.19, 5.50, 5.95, 5.44]","[1.98, 2.14, 2.51, 2.80, 2.21, 2.37, 3.10, 2.49, 2.70, 2.32]",,,,,,
2,TRUE,FALSE,FALSE,5.28,0.24,2.12,0.18,"[5.30, 5.09, 4.84, 5.32, 5.22, 5.59, 5.60, 5.04, 5.40, 5.45]","[1.98, 2.04, 2.04, 2.07, 2.03, 2.35, 2.30, 1.87, 2.09, 2.41]",,,,,,
3,TRUE,FALSE,TRUE,5.3,0,2.16,0,[5.3],[2.16],,,,,,
4,FALSE,FALSE,TRUE,5.55,0.31,2.4,0.31,"[5.30, 5.33, 5.95, 6.21, 5.38, 5.32, 5.64, 5.47, 5.63, 5.29]","[2.09, 2.16, 2.78, 2.82, 2.32, 2.12, 2.66, 2.46, 2.67, 1.97]",,,,,,
5,,TRUE,FALSE,5.28,0.24,2.12,0.18,"[5.30, 5.09, 4.84, 5.32, 5.22, 5.59, 5.60, 5.04, 5.40, 5.45]","[1.98, 2.04, 2.04, 2.07, 2.03, 2.35, 2.30, 1.87, 2.09, 2.41]",,,,,,
6,,TRUE,TRUE,5.3,0,2.04,0,[5.3],[2.04],,,,,,
